
WLA DX: 6809 mnemonics listed in alphabetical order.

If you notice any errors or something is missing, please
open an issue @ https://github.com/vhelin/wla-dx


x = 8bit
? = 16bit
s = 5bit signed ([-16, +15])



"ABX" $3A
"BITB,S+" $E5E0
"BITB,S++" $E5E1
"BITB,U" $E5C4
"BITB,U+" $E5C0
"BITB,U++" $E5C1
"BITB,X" $E584
"BITB,X+" $E580
"BITB,X++" $E581
"BITB,Y" $E5A4
"BITB,Y+" $E5A0
"BITB,Y++" $E5A1
"BLE x" $2F
"BLO x" $25
"BLS x" $23
"BLT x" $2D
"BMI x" $2B
"BNE x" $26
"BPL x" $2A
"BRA x" $20
"BRN x" $21
"BSR x" $8D
"BVC x" $28
"BVS x" $29
"CLR (,--S)" $6FF3
"CLR (,--U)" $6FD3
"CLR (,--X)" $6F93
"CLR (,--Y)" $6FB3
"CLR (,S)" $6FF4
"CLR (,S++)" $6FF1
"CLR (,U)" $6FD4
"CLR (,U++)" $6FD1
"CLR (,X)" $6F94
"CLR (,X++)" $6F91
"CLR (,Y)" $6FB4
"CLR (,Y++)" $6FB1
"CLR (?)" $6F9F
"CLR (?,PCR)" $6F9D
"CLR (?,S)" $6FF9
"CLR (?,U)" $6FD9
"CLR (?,X)" $6F99
"CLR (?,Y)" $6FB9
"CLR (A,S)" $6FF6
"CLR (A,U)" $6FD6
"CLR (A,X)" $6F96
"CLR (A,Y)" $6FB6
"CLR (B,S)" $6FF5
"CLR (B,U)" $6FD5
"CLR (B,X)" $6F95
"CLR (B,Y)" $6FB5
"CLR (D,S)" $6FFB
"CLR (D,U)" $6FDB
"CLR (D,X)" $6F9B
"CLR (D,Y)" $6FBB
"CLR (x,PCR)" $6F9C
"CLR (x,S)" $6FF8
"CLR (x,U)" $6FD8
"CLR (x,X)" $6F98
"CLR (x,Y)" $6FB8
"CLR ?" $7F
"CLR ?,PCR" $6F8D
"CLR ?,S" $6FE9
"CLR ?,U" $6FC9
"CLR ?,X" $6F89
"CLR ?,Y" $6FA9
"CLR A,S" $6FE6
"CLR A,U" $6FC6
"CLR A,X" $6F86
"CLR A,Y" $6FA6
"CLR B,S" $6FE5
"CLR B,U" $6FC5
"CLR B,X" $6F85
"CLR B,Y" $6FA5
"CLR D,S" $6FEB
"CLR D,U" $6FCB
"CLR D,X" $6F8B
"CLR D,Y" $6FAB
"CLR s,S" $6F60
"CLR s,U" $6F40
"CLR s,X" $6F00
"CLR s,Y" $6F20
"CLR x" $0F
"CLR x,PCR" $6F8C
"CLR x,S" $6FE8
"CLR x,U" $6FC8
"CLR x,X" $6F88
"CLR x,Y" $6FA8
"CLR,--S" $6FE3
"CLR,--U" $6FC3
"CLR,--X" $6F83
"CLR,--Y" $6FA3
"CLR,-S" $6FE2
"CLR,-U" $6FC2
"CLR,-X" $6F82
"CLR,-Y" $6FA2
"CLR,S" $6FE4
"CLR,S+" $6FE0
"CLR,S++" $6FE1
"CLR,U" $6FC4
"CLR,U+" $6FC0
"CLR,U++" $6FC1
"CLR,X" $6F84
"CLR,X+" $6F80
"CLR,X++" $6F81
"CLR,Y" $6FA4
"CLR,Y+" $6FA0
"CLR,Y++" $6FA1
"CLRA" $4F
"CLRB" $5F
"CMPA #x" $81
"CMPA (,--S)" $A1F3
"CMPA (,--U)" $A1D3
"CMPA (,--X)" $A193
"CMPA (,--Y)" $A1B3
"CMPA (,S)" $A1F4
"CMPA (,S++)" $A1F1
"CMPA (,U)" $A1D4
"CMPA (,U++)" $A1D1
"CMPA (,X)" $A194
"CMPA (,X++)" $A191
"CMPA (,Y)" $A1B4
"CMPA (,Y++)" $A1B1
"CMPA (?)" $A19F
"CMPA (?,PCR)" $A19D
"CMPA (?,S)" $A1F9
"CMPA (?,U)" $A1D9
"CMPA (?,X)" $A199
"CMPA (?,Y)" $A1B9
"CMPA (A,S)" $A1F6
"CMPA (A,U)" $A1D6
"CMPA (A,X)" $A196
"CMPA (A,Y)" $A1B6
"CMPA (B,S)" $A1F5
"CMPA (B,U)" $A1D5
"CMPA (B,X)" $A195
"CMPA (B,Y)" $A1B5
"CMPA (D,S)" $A1FB
"CMPA (D,U)" $A1DB
"CMPA (D,X)" $A19B
"CMPA (D,Y)" $A1BB
"CMPA (x,PCR)" $A19C
"CMPA (x,S)" $A1F8
"CMPA (x,U)" $A1D8
"CMPA (x,X)" $A198
"CMPA (x,Y)" $A1B8
"CMPA ?" $B1
"CMPA ?,PCR" $A18D
"CMPA ?,S" $A1E9
"CMPA ?,U" $A1C9
"CMPA ?,X" $A189
"CMPA ?,Y" $A1A9
"CMPA A,S" $A1E6
"CMPA A,U" $A1C6
"CMPA A,X" $A186
"CMPA A,Y" $A1A6
"CMPA B,S" $A1E5
"CMPA B,U" $A1C5
"CMPA B,X" $A185
"CMPA B,Y" $A1A5
"CMPA D,S" $A1EB
"CMPA D,U" $A1CB
"CMPA D,X" $A18B
"CMPA D,Y" $A1AB
"CMPA s,S" $A160
"CMPA s,U" $A140
"CMPA s,X" $A100
"CMPA s,Y" $A120
"CMPA x" $91
"CMPA x,PCR" $A18C
"CMPA x,S" $A1E8
"CMPA x,U" $A1C8
"CMPA x,X" $A188
"CMPA x,Y" $A1A8
"CMPA,--S" $A1E3
"CMPA,--U" $A1C3
"CMPA,--X" $A183
"CMPA,--Y" $A1A3
"CMPA,-S" $A1E2
"CMPA,-U" $A1C2
"CMPA,-X" $A182
"CMPA,-Y" $A1A2
"CMPA,S" $A1E4
"CMPA,S+" $A1E0
"CMPA,S++" $A1E1
"CMPA,U" $A1C4
"CMPA,U+" $A1C0
"CMPA,U++" $A1C1
"CMPA,X" $A184
"CMPA,X+" $A180
"CMPA,X++" $A181
"CMPA,Y" $A1A4
"CMPA,Y+" $A1A0
"CMPA,Y++" $A1A1
"CMPB #x" $C1
"CMPB (,--S)" $E1F3
"CMPB (,--U)" $E1D3
"CMPB (,--X)" $E193
"CMPB (,--Y)" $E1B3
"CMPB (,S)" $E1F4
"CMPB (,S++)" $E1F1
"CMPB (,U)" $E1D4
"CMPB (,U++)" $E1D1
"CMPB (,X)" $E194
"CMPB (,X++)" $E191
"CMPB (,Y)" $E1B4
"CMPB (,Y++)" $E1B1
"CMPB (?)" $E19F
"CMPB (?,PCR)" $E19D
"CMPB (?,S)" $E1F9
"CMPB (?,U)" $E1D9
"CMPB (?,X)" $E199
"CMPB (?,Y)" $E1B9
"CMPB (A,S)" $E1F6
"CMPB (A,U)" $E1D6
"CMPB (A,X)" $E196
"CMPB (A,Y)" $E1B6
"CMPB (B,S)" $E1F5
"CMPB (B,U)" $E1D5
"CMPB (B,X)" $E195
"CMPB (B,Y)" $E1B5
"CMPB (D,S)" $E1FB
"CMPB (D,U)" $E1DB
"CMPB (D,X)" $E19B
"CMPB (D,Y)" $E1BB
"CMPB (x,PCR)" $E19C
"CMPB (x,S)" $E1F8
"CMPB (x,U)" $E1D8
"CMPB (x,X)" $E198
"CMPB (x,Y)" $E1B8
"CMPB ?" $F1
"CMPB ?,PCR" $E18D
"CMPB ?,S" $E1E9
"CMPB ?,U" $E1C9
"CMPB ?,X" $E189
"CMPB ?,Y" $E1A9
"CMPB A,S" $E1E6
"CMPB A,U" $E1C6
"CMPB A,X" $E186
"CMPB A,Y" $E1A6
"CMPB B,S" $E1E5
"CMPB B,U" $E1C5
"CMPB B,X" $E185
"CMPB B,Y" $E1A5
"CMPB D,S" $E1EB
"CMPB D,U" $E1CB
"CMPB D,X" $E18B
"CMPB D,Y" $E1AB
"CMPB s,S" $E160
"CMPB s,U" $E140
"CMPB s,X" $E100
"CMPB s,Y" $E120
"CMPB x" $D1
"CMPB x,PCR" $E18C
"CMPB x,S" $E1E8
"CMPB x,U" $E1C8
"CMPB x,X" $E188
"CMPB x,Y" $E1A8
"CMPB,--S" $E1E3
"CMPB,--U" $E1C3
"CMPB,--X" $E183
"CMPB,--Y" $E1A3
"CMPB,-S" $E1E2
"CMPB,-U" $E1C2
"CMPB,-X" $E182
"CMPB,-Y" $E1A2
"CMPB,S" $E1E4
"CMPB,S+" $E1E0
"CMPB,S++" $E1E1
"CMPB,U" $E1C4
"CMPB,U+" $E1C0
"CMPB,U++" $E1C1
"CMPB,X" $E184
"CMPB,X+" $E180
"CMPB,X++" $E181
"CMPB,Y" $E1A4
"CMPB,Y+" $E1A0
"CMPB,Y++" $E1A1
"CMPD #x" $1083
"CMPD (,--S)" $10A3F3
"CMPD (,--U)" $10A3D3
"CMPD (,--X)" $10A393
"CMPD (,--Y)" $10A3B3
"CMPD (,S)" $10A3F4
"CMPD (,S++)" $10A3F1
"CMPD (,U)" $10A3D4
"CMPD (,U++)" $10A3D1
"CMPD (,X)" $10A394
"CMPD (,X++)" $10A391
"CMPD (,Y)" $10A3B4
"CMPD (,Y++)" $10A3B1
"CMPD (?)" $10A39F
"CMPD (?,PCR)" $10A39D
"CMPD (?,S)" $10A3F9
"CMPD (?,U)" $10A3D9
"CMPD (?,X)" $10A399
"CMPD (?,Y)" $10A3B9
"CMPD (A,S)" $10A3F6
"CMPD (A,U)" $10A3D6
"CMPD (A,X)" $10A396
"CMPD (A,Y)" $10A3B6
"CMPD (B,S)" $10A3F5
"CMPD (B,U)" $10A3D5
"CMPD (B,X)" $10A395
"CMPD (B,Y)" $10A3B5
"CMPD (D,S)" $10A3FB
"CMPD (D,U)" $10A3DB
"CMPD (D,X)" $10A39B
"CMPD (D,Y)" $10A3BB
"CMPD (x,PCR)" $10A39C
"CMPD (x,S)" $10A3F8
"CMPD (x,U)" $10A3D8
"CMPD (x,X)" $10A398
"CMPD (x,Y)" $10A3B8
"CMPD ?" $10B3
"CMPD ?,PCR" $10A38D
"CMPD ?,S" $10A3E9
"CMPD ?,U" $10A3C9
"CMPD ?,X" $10A389
"CMPD ?,Y" $10A3A9
"CMPD A,S" $10A3E6
"CMPD A,U" $10A3C6
"CMPD A,X" $10A386
"CMPD A,Y" $10A3A6
"CMPD B,S" $10A3E5
"CMPD B,U" $10A3C5
"CMPD B,X" $10A385
"CMPD B,Y" $10A3A5
"CMPD D,S" $10A3EB
"CMPD D,U" $10A3CB
"CMPD D,X" $10A38B
"CMPD D,Y" $10A3AB
"CMPD s,S" $10A360
"CMPD s,U" $10A340
"CMPD s,X" $10A300
"CMPD s,Y" $10A320
"CMPD x" $1093
"CMPD x,PCR" $10A38C
"CMPD x,S" $10A3E8
"CMPD x,U" $10A3C8
"CMPD x,X" $10A388
"CMPD x,Y" $10A3A8
"CMPD,--S" $10A3E3
"CMPD,--U" $10A3C3
"CMPD,--X" $10A383
"CMPD,--Y" $10A3A3
"CMPD,-S" $10A3E2
"CMPD,-U" $10A3C2
"CMPD,-X" $10A382
"CMPD,-Y" $10A3A2
"CMPD,S" $10A3E4
"CMPD,S+" $10A3E0
"CMPD,S++" $10A3E1
"CMPD,U" $10A3C4
"CMPD,U+" $10A3C0
"CMPD,U++" $10A3C1
"CMPD,X" $10A384
"CMPD,X+" $10A380
"CMPD,X++" $10A381
"CMPD,Y" $10A3A4
"CMPD,Y+" $10A3A0
"CMPD,Y++" $10A3A1
"CMPS #x" $118C
"CMPS (,--S)" $11ACF3
"CMPS (,--U)" $11ACD3
"CMPS (,--X)" $11AC93
"CMPS (,--Y)" $11ACB3
"CMPS (,S)" $11ACF4
"CMPS (,S++)" $11ACF1
"CMPS (,U)" $11ACD4
"CMPS (,U++)" $11ACD1
"CMPS (,X)" $11AC94
"CMPS (,X++)" $11AC91
"CMPS (,Y)" $11ACB4
"CMPS (,Y++)" $11ACB1
"CMPS (?)" $11AC9F
"CMPS (?,PCR)" $11AC9D
"CMPS (?,S)" $11ACF9
"CMPS (?,U)" $11ACD9
"CMPS (?,X)" $11AC99
"CMPS (?,Y)" $11ACB9
"CMPS (A,S)" $11ACF6
"CMPS (A,U)" $11ACD6
"CMPS (A,X)" $11AC96
"CMPS (A,Y)" $11ACB6
"CMPS (B,S)" $11ACF5
"CMPS (B,U)" $11ACD5
"CMPS (B,X)" $11AC95
"CMPS (B,Y)" $11ACB5
"CMPS (D,S)" $11ACFB
"CMPS (D,U)" $11ACDB
"CMPS (D,X)" $11AC9B
"CMPS (D,Y)" $11ACBB
"CMPS (x,PCR)" $11AC9C
"CMPS (x,S)" $11ACF8
"CMPS (x,U)" $11ACD8
"CMPS (x,X)" $11AC98
"CMPS (x,Y)" $11ACB8
"CMPS ?" $11BC
"CMPS ?,PCR" $11AC8D
"CMPS ?,S" $11ACE9
"CMPS ?,U" $11ACC9
"CMPS ?,X" $11AC89
"CMPS ?,Y" $11ACA9
"CMPS A,S" $11ACE6
"CMPS A,U" $11ACC6
"CMPS A,X" $11AC86
"CMPS A,Y" $11ACA6
"CMPS B,S" $11ACE5
"CMPS B,U" $11ACC5
"CMPS B,X" $11AC85
"CMPS B,Y" $11ACA5
"CMPS D,S" $11ACEB
"CMPS D,U" $11ACCB
"CMPS D,X" $11AC8B
"CMPS D,Y" $11ACAB
"CMPS s,S" $11AC60
"CMPS s,U" $11AC40
"CMPS s,X" $11AC00
"CMPS s,Y" $11AC20
"CMPS x" $119C
"CMPS x,PCR" $11AC8C
"CMPS x,S" $11ACE8
"CMPS x,U" $11ACC8
"CMPS x,X" $11AC88
"CMPS x,Y" $11ACA8
"CMPS,--S" $11ACE3
"CMPS,--U" $11ACC3
"CMPS,--X" $11AC83
"CMPS,--Y" $11ACA3
"CMPS,-S" $11ACE2
"CMPS,-U" $11ACC2
"CMPS,-X" $11AC82
"CMPS,-Y" $11ACA2
"CMPS,S" $11ACE4
"CMPS,S+" $11ACE0
"CMPS,S++" $11ACE1
"CMPS,U" $11ACC4
"CMPS,U+" $11ACC0
"CMPS,U++" $11ACC1
"CMPS,X" $11AC84
"CMPS,X+" $11AC80
"CMPS,X++" $11AC81
"CMPS,Y" $11ACA4
"CMPS,Y+" $11ACA0
"CMPS,Y++" $11ACA1
"CMPU #x" $1183
"CMPU (,--S)" $11A3F3
"CMPU (,--U)" $11A3D3
"CMPU (,--X)" $11A393
"CMPU (,--Y)" $11A3B3
"CMPU (,S)" $11A3F4
"CMPU (,S++)" $11A3F1
"CMPU (,U)" $11A3D4
"CMPU (,U++)" $11A3D1
"CMPU (,X)" $11A394
"CMPU (,X++)" $11A391
"CMPU (,Y)" $11A3B4
"CMPU (,Y++)" $11A3B1
"CMPU (?)" $11A39F
"CMPU (?,PCR)" $11A39D
"CMPU (?,S)" $11A3F9
"CMPU (?,U)" $11A3D9
"CMPU (?,X)" $11A399
"CMPU (?,Y)" $11A3B9
"CMPU (A,S)" $11A3F6
"CMPU (A,U)" $11A3D6
"CMPU (A,X)" $11A396
"CMPU (A,Y)" $11A3B6
"CMPU (B,S)" $11A3F5
"CMPU (B,U)" $11A3D5
"CMPU (B,X)" $11A395
"CMPU (B,Y)" $11A3B5
"CMPU (D,S)" $11A3FB
"CMPU (D,U)" $11A3DB
"CMPU (D,X)" $11A39B
"CMPU (D,Y)" $11A3BB
"CMPU (x,PCR)" $11A39C
"CMPU (x,S)" $11A3F8
"CMPU (x,U)" $11A3D8
"CMPU (x,X)" $11A398
"CMPU (x,Y)" $11A3B8
"CMPU ?" $11B3
"CMPU ?,PCR" $11A38D
"CMPU ?,S" $11A3E9
"CMPU ?,U" $11A3C9
"CMPU ?,X" $11A389
"CMPU ?,Y" $11A3A9
"CMPU A,S" $11A3E6
"CMPU A,U" $11A3C6
"CMPU A,X" $11A386
"CMPU A,Y" $11A3A6
"CMPU B,S" $11A3E5
"CMPU B,U" $11A3C5
"CMPU B,X" $11A385
"CMPU B,Y" $11A3A5
"CMPU D,S" $11A3EB
"CMPU D,U" $11A3CB
"CMPU D,X" $11A38B
"CMPU D,Y" $11A3AB
"CMPU s,S" $11A360
"CMPU s,U" $11A340
"CMPU s,X" $11A300
"CMPU s,Y" $11A320
"CMPU x" $1193
"CMPU x,PCR" $11A38C
"CMPU x,S" $11A3E8
"CMPU x,U" $11A3C8
"CMPU x,X" $11A388
"CMPU x,Y" $11A3A8
"CMPU,--S" $11A3E3
"CMPU,--U" $11A3C3
"CMPU,--X" $11A383
"CMPU,--Y" $11A3A3
"CMPU,-S" $11A3E2
"CMPU,-U" $11A3C2
"CMPU,-X" $11A382
"CMPU,-Y" $11A3A2
"CMPU,S" $11A3E4
"CMPU,S+" $11A3E0
"CMPU,S++" $11A3E1
"CMPU,U" $11A3C4
"CMPU,U+" $11A3C0
"CMPU,U++" $11A3C1
"CMPU,X" $11A384
"CMPU,X+" $11A380
"CMPU,X++" $11A381
"CMPU,Y" $11A3A4
"CMPU,Y+" $11A3A0
"CMPU,Y++" $11A3A1
"CMPX #x" $8C
"CMPX (,--S)" $ACF3
"CMPX (,--U)" $ACD3
"CMPX (,--X)" $AC93
"CMPX (,--Y)" $ACB3
"CMPX (,S)" $ACF4
"CMPX (,S++)" $ACF1
"CMPX (,U)" $ACD4
"CMPX (,U++)" $ACD1
"CMPX (,X)" $AC94
"CMPX (,X++)" $AC91
"CMPX (,Y)" $ACB4
"CMPX (,Y++)" $ACB1
"CMPX (?)" $AC9F
"CMPX (?,PCR)" $AC9D
"CMPX (?,S)" $ACF9
"CMPX (?,U)" $ACD9
"CMPX (?,X)" $AC99
"CMPX (?,Y)" $ACB9
"CMPX (A,S)" $ACF6
"CMPX (A,U)" $ACD6
"CMPX (A,X)" $AC96
"CMPX (A,Y)" $ACB6
"CMPX (B,S)" $ACF5
"CMPX (B,U)" $ACD5
"CMPX (B,X)" $AC95
"CMPX (B,Y)" $ACB5
"CMPX (D,S)" $ACFB
"CMPX (D,U)" $ACDB
"CMPX (D,X)" $AC9B
"CMPX (D,Y)" $ACBB
"CMPX (x,PCR)" $AC9C
"CMPX (x,S)" $ACF8
"CMPX (x,U)" $ACD8
"CMPX (x,X)" $AC98
"CMPX (x,Y)" $ACB8
"CMPX ?" $BC
"CMPX ?,PCR" $AC8D
"CMPX ?,S" $ACE9
"CMPX ?,U" $ACC9
"CMPX ?,X" $AC89
"CMPX ?,Y" $ACA9
"CMPX A,S" $ACE6
"CMPX A,U" $ACC6
"CMPX A,X" $AC86
"CMPX A,Y" $ACA6
"CMPX B,S" $ACE5
"CMPX B,U" $ACC5
"CMPX B,X" $AC85
"CMPX B,Y" $ACA5
"CMPX D,S" $ACEB
"CMPX D,U" $ACCB
"CMPX D,X" $AC8B
"CMPX D,Y" $ACAB
"CMPX s,S" $AC60
"CMPX s,U" $AC40
"CMPX s,X" $AC00
"CMPX s,Y" $AC20
"CMPX x" $9C
"CMPX x,PCR" $AC8C
"CMPX x,S" $ACE8
"CMPX x,U" $ACC8
"CMPX x,X" $AC88
"CMPX x,Y" $ACA8
"CMPX,--S" $ACE3
"CMPX,--U" $ACC3
"CMPX,--X" $AC83
"CMPX,--Y" $ACA3
"CMPX,-S" $ACE2
"CMPX,-U" $ACC2
"CMPX,-X" $AC82
"CMPX,-Y" $ACA2
"CMPX,S" $ACE4
"CMPX,S+" $ACE0
"CMPX,S++" $ACE1
"CMPX,U" $ACC4
"CMPX,U+" $ACC0
"CMPX,U++" $ACC1
"CMPX,X" $AC84
"CMPX,X+" $AC80
"CMPX,X++" $AC81
"CMPX,Y" $ACA4
"CMPX,Y+" $ACA0
"CMPX,Y++" $ACA1
"CMPY #x" $108C
"CMPY (,--S)" $10ACF3
"CMPY (,--U)" $10ACD3
"CMPY (,--X)" $10AC93
"CMPY (,--Y)" $10ACB3
"CMPY (,S)" $10ACF4
"CMPY (,S++)" $10ACF1
"CMPY (,U)" $10ACD4
"CMPY (,U++)" $10ACD1
"CMPY (,X)" $10AC94
"CMPY (,X++)" $10AC91
"CMPY (,Y)" $10ACB4
"CMPY (,Y++)" $10ACB1
"CMPY (?)" $10AC9F
"CMPY (?,PCR)" $10AC9D
"CMPY (?,S)" $10ACF9
"CMPY (?,U)" $10ACD9
"CMPY (?,X)" $10AC99
"CMPY (?,Y)" $10ACB9
"CMPY (A,S)" $10ACF6
"CMPY (A,U)" $10ACD6
"CMPY (A,X)" $10AC96
"CMPY (A,Y)" $10ACB6
"CMPY (B,S)" $10ACF5
"CMPY (B,U)" $10ACD5
"CMPY (B,X)" $10AC95
"CMPY (B,Y)" $10ACB5
"CMPY (D,S)" $10ACFB
"CMPY (D,U)" $10ACDB
"CMPY (D,X)" $10AC9B
"CMPY (D,Y)" $10ACBB
"CMPY (x,PCR)" $10AC9C
"CMPY (x,S)" $10ACF8
"CMPY (x,U)" $10ACD8
"CMPY (x,X)" $10AC98
"CMPY (x,Y)" $10ACB8
"CMPY ?" $10BC
"CMPY ?,PCR" $10AC8D
"CMPY ?,S" $10ACE9
"CMPY ?,U" $10ACC9
"CMPY ?,X" $10AC89
"CMPY ?,Y" $10ACA9
"CMPY A,S" $10ACE6
"CMPY A,U" $10ACC6
"CMPY A,X" $10AC86
"CMPY A,Y" $10ACA6
"CMPY B,S" $10ACE5
"CMPY B,U" $10ACC5
"CMPY B,X" $10AC85
"CMPY B,Y" $10ACA5
"CMPY D,S" $10ACEB
"CMPY D,U" $10ACCB
"CMPY D,X" $10AC8B
"CMPY D,Y" $10ACAB
"CMPY s,S" $10AC60
"CMPY s,U" $10AC40
"CMPY s,X" $10AC00
"CMPY s,Y" $10AC20
"CMPY x" $109C
"CMPY x,PCR" $10AC8C
"CMPY x,S" $10ACE8
"CMPY x,U" $10ACC8
"CMPY x,X" $10AC88
"CMPY x,Y" $10ACA8
"CMPY,--S" $10ACE3
"CMPY,--U" $10ACC3
"CMPY,--X" $10AC83
"CMPY,--Y" $10ACA3
"CMPY,-S" $10ACE2
"CMPY,-U" $10ACC2
"CMPY,-X" $10AC82
"CMPY,-Y" $10ACA2
"CMPY,S" $10ACE4
"CMPY,S+" $10ACE0
"CMPY,S++" $10ACE1
"CMPY,U" $10ACC4
"CMPY,U+" $10ACC0
"CMPY,U++" $10ACC1
"CMPY,X" $10AC84
"CMPY,X+" $10AC80
"CMPY,X++" $10AC81
"CMPY,Y" $10ACA4
"CMPY,Y+" $10ACA0
"CMPY,Y++" $10ACA1
"COM (,--S)" $63F3
"COM (,--U)" $63D3
"COM (,--X)" $6393
"COM (,--Y)" $63B3
"COM (,S)" $63F4
"COM (,S++)" $63F1
"COM (,U)" $63D4
"COM (,U++)" $63D1
"COM (,X)" $6394
"COM (,X++)" $6391
"COM (,Y)" $63B4
"COM (,Y++)" $63B1
"COM (?)" $639F
"COM (?,PCR)" $639D
"COM (?,S)" $63F9
"COM (?,U)" $63D9
"COM (?,X)" $6399
"COM (?,Y)" $63B9
"COM (A,S)" $63F6
"COM (A,U)" $63D6
"COM (A,X)" $6396
"COM (A,Y)" $63B6
"COM (B,S)" $63F5
"COM (B,U)" $63D5
"COM (B,X)" $6395
"COM (B,Y)" $63B5
"COM (D,S)" $63FB
"COM (D,U)" $63DB
"COM (D,X)" $639B
"COM (D,Y)" $63BB
"COM (x,PCR)" $639C
"COM (x,S)" $63F8
"COM (x,U)" $63D8
"COM (x,X)" $6398
"COM (x,Y)" $63B8
"COM ?" $73
"COM ?,PCR" $638D
"COM ?,S" $63E9
"COM ?,U" $63C9
"COM ?,X" $6389
"COM ?,Y" $63A9
"COM A,S" $63E6
"COM A,U" $63C6
"COM A,X" $6386
"COM A,Y" $63A6
"COM B,S" $63E5
"COM B,U" $63C5
"COM B,X" $6385
"COM B,Y" $63A5
"COM D,S" $63EB
"COM D,U" $63CB
"COM D,X" $638B
"COM D,Y" $63AB
"COM s,S" $6360
"COM s,U" $6340
"COM s,X" $6300
"COM s,Y" $6320
"COM x" $03
"COM x,PCR" $638C
"COM x,S" $63E8
"COM x,U" $63C8
"COM x,X" $6388
"COM x,Y" $63A8
"COM,--S" $63E3
"COM,--U" $63C3
"COM,--X" $6383
"COM,--Y" $63A3
"COM,-S" $63E2
"COM,-U" $63C2
"COM,-X" $6382
"COM,-Y" $63A2
"COM,S" $63E4
"COM,S+" $63E0
"COM,S++" $63E1
"COM,U" $63C4
"COM,U+" $63C0
"COM,U++" $63C1
"COM,X" $6384
"COM,X+" $6380
"COM,X++" $6381
"COM,Y" $63A4
"COM,Y+" $63A0
"COM,Y++" $63A1
"COMA" $43
"COMB" $53
"CWAI #x" $3C
"DAA" $19
"DEC (,--S)" $6AF3
"DEC (,--U)" $6AD3
"DEC (,--X)" $6A93
"DEC (,--Y)" $6AB3
"DEC (,S)" $6AF4
"DEC (,S++)" $6AF1
"DEC (,U)" $6AD4
"DEC (,U++)" $6AD1
"DEC (,X)" $6A94
"DEC (,X++)" $6A91
"DEC (,Y)" $6AB4
"DEC (,Y++)" $6AB1
"DEC (?)" $6A9F
"DEC (?,PCR)" $6A9D
"DEC (?,S)" $6AF9
"DEC (?,U)" $6AD9
"DEC (?,X)" $6A99
"DEC (?,Y)" $6AB9
"DEC (A,S)" $6AF6
"DEC (A,U)" $6AD6
"DEC (A,X)" $6A96
"DEC (A,Y)" $6AB6
"DEC (B,S)" $6AF5
"DEC (B,U)" $6AD5
"DEC (B,X)" $6A95
"DEC (B,Y)" $6AB5
"DEC (D,S)" $6AFB
"DEC (D,U)" $6ADB
"DEC (D,X)" $6A9B
"DEC (D,Y)" $6ABB
"DEC (x,PCR)" $6A9C
"DEC (x,S)" $6AF8
"DEC (x,U)" $6AD8
"DEC (x,X)" $6A98
"DEC (x,Y)" $6AB8
"DEC ?" $7A
"DEC ?,PCR" $6A8D
"DEC ?,S" $6AE9
"DEC ?,U" $6AC9
"DEC ?,X" $6A89
"DEC ?,Y" $6AA9
"DEC A,S" $6AE6
"DEC A,U" $6AC6
"DEC A,X" $6A86
"DEC A,Y" $6AA6
"DEC B,S" $6AE5
"DEC B,U" $6AC5
"DEC B,X" $6A85
"DEC B,Y" $6AA5
"DEC D,S" $6AEB
"DEC D,U" $6ACB
"DEC D,X" $6A8B
"DEC D,Y" $6AAB
"DEC s,S" $6A60
"DEC s,U" $6A40
"DEC s,X" $6A00
"DEC s,Y" $6A20
"DEC x" $0A
"DEC x,PCR" $6A8C
"DEC x,S" $6AE8
"DEC x,U" $6AC8
"DEC x,X" $6A88
"DEC x,Y" $6AA8
"DEC,--S" $6AE3
"DEC,--U" $6AC3
"DEC,--X" $6A83
"DEC,--Y" $6AA3
"DEC,-S" $6AE2
"DEC,-U" $6AC2
"DEC,-X" $6A82
"DEC,-Y" $6AA2
"DEC,S" $6AE4
"DEC,S+" $6AE0
"DEC,S++" $6AE1
"DEC,U" $6AC4
"DEC,U+" $6AC0
"DEC,U++" $6AC1
"DEC,X" $6A84
"DEC,X+" $6A80
"DEC,X++" $6A81
"DEC,Y" $6AA4
"DEC,Y+" $6AA0
"DEC,Y++" $6AA1
"DECA" $4A
"DECB" $5A
"EORA #x" $88
"EORA (,--S)" $A8F3
"EORA (,--U)" $A8D3
"EORA (,--X)" $A893
"EORA (,--Y)" $A8B3
"EORA (,S)" $A8F4
"EORA (,S++)" $A8F1
"EORA (,U)" $A8D4
"EORA (,U++)" $A8D1
"EORA (,X)" $A894
"EORA (,X++)" $A891
"EORA (,Y)" $A8B4
"EORA (,Y++)" $A8B1
"EORA (?)" $A89F
"EORA (?,PCR)" $A89D
"EORA (?,S)" $A8F9
"EORA (?,U)" $A8D9
"EORA (?,X)" $A899
"EORA (?,Y)" $A8B9
"EORA (A,S)" $A8F6
"EORA (A,U)" $A8D6
"EORA (A,X)" $A896
"EORA (A,Y)" $A8B6
"EORA (B,S)" $A8F5
"EORA (B,U)" $A8D5
"EORA (B,X)" $A895
"EORA (B,Y)" $A8B5
"EORA (D,S)" $A8FB
"EORA (D,U)" $A8DB
"EORA (D,X)" $A89B
"EORA (D,Y)" $A8BB
"EORA (x,PCR)" $A89C
"EORA (x,S)" $A8F8
"EORA (x,U)" $A8D8
"EORA (x,X)" $A898
"EORA (x,Y)" $A8B8
"EORA ?" $B8
