
WLA DX: 6809 mnemonics listed in opcode order.

If you notice any errors or something is missing, please
open an issue @ https://github.com/vhelin/wla-dx


x = 8bit
? = 16bit
s = 5bit signed ([-16, +15])



$00 "NEG x"
$10ACA6 "CMPY A,Y"
$10ACA8 "CMPY x,Y"
$10ACA9 "CMPY ?,Y"
$10ACAB "CMPY D,Y"
$10ACB1 "CMPY (,Y++)"
$10ACB3 "CMPY (,--Y)"
$10ACB4 "CMPY (,Y)"
$10ACB5 "CMPY (B,Y)"
$10ACB6 "CMPY (A,Y)"
$10ACB8 "CMPY (x,Y)"
$10ACB9 "CMPY (?,Y)"
$10ACBB "CMPY (D,Y)"
$10ACC0 "CMPY,U+"
$10ACC1 "CMPY,U++"
$10ACC2 "CMPY,-U"
$10ACC3 "CMPY,--U"
$10ACC4 "CMPY,U"
$10ACC5 "CMPY B,U"
$10ACC6 "CMPY A,U"
$10ACC8 "CMPY x,U"
$10ACC9 "CMPY ?,U"
$10ACCB "CMPY D,U"
$10ACD1 "CMPY (,U++)"
$10ACD3 "CMPY (,--U)"
$10ACD4 "CMPY (,U)"
$10ACD5 "CMPY (B,U)"
$10ACD6 "CMPY (A,U)"
$10ACD8 "CMPY (x,U)"
$10ACD9 "CMPY (?,U)"
$10ACDB "CMPY (D,U)"
$10ACE0 "CMPY,S+"
$10ACE1 "CMPY,S++"
$10ACE2 "CMPY,-S"
$10ACE3 "CMPY,--S"
$10ACE4 "CMPY,S"
$10ACE5 "CMPY B,S"
$10ACE6 "CMPY A,S"
$10ACE8 "CMPY x,S"
$10ACE9 "CMPY ?,S"
$10ACEB "CMPY D,S"
$10ACF1 "CMPY (,S++)"
$10ACF3 "CMPY (,--S)"
$10ACF4 "CMPY (,S)"
$10ACF5 "CMPY (B,S)"
$10ACF6 "CMPY (A,S)"
$10ACF8 "CMPY (x,S)"
$10ACF9 "CMPY (?,S)"
$10ACFB "CMPY (D,S)"
$10AE00 "LDY s,X"
$10AE20 "LDY s,Y"
$10AE40 "LDY s,U"
$10AE60 "LDY s,S"
$10AE80 "LDY,X+"
$10AE81 "LDY,X++"
$10AE82 "LDY,-X"
$10AE83 "LDY,--X"
$10AE84 "LDY,X"
$10AE85 "LDY B,X"
$10AE86 "LDY A,X"
$10AE88 "LDY x,X"
$10AE89 "LDY ?,X"
$10AE8B "LDY D,X"
$10AE8C "LDY x,PCR"
$10AE8D "LDY ?,PCR"
$10AE91 "LDY (,X++)"
$10AE93 "LDY (,--X)"
$10AE94 "LDY (,X)"
$10AE95 "LDY (B,X)"
$10AE96 "LDY (A,X)"
$10AE98 "LDY (x,X)"
$10AE99 "LDY (?,X)"
$10AE9B "LDY (D,X)"
$10AE9C "LDY (x,PCR)"
$10AE9D "LDY (?,PCR)"
$10AE9F "LDY (?)"
$10AEA0 "LDY,Y+"
$10AEA1 "LDY,Y++"
$10AEA2 "LDY,-Y"
$10AEA3 "LDY,--Y"
$10AEA4 "LDY,Y"
$10AEA5 "LDY B,Y"
$10AEA6 "LDY A,Y"
$10AEA8 "LDY x,Y"
$10AEA9 "LDY ?,Y"
$10AEAB "LDY D,Y"
$10AEB1 "LDY (,Y++)"
$10AEB3 "LDY (,--Y)"
$10AEB4 "LDY (,Y)"
$10AEB5 "LDY (B,Y)"
$10AEB6 "LDY (A,Y)"
$10AEB8 "LDY (x,Y)"
$10AEB9 "LDY (?,Y)"
$10AEBB "LDY (D,Y)"
$10AEC0 "LDY,U+"
$10AEC1 "LDY,U++"
$10AEC2 "LDY,-U"
$10AEC3 "LDY,--U"
$10AEC4 "LDY,U"
$10AEC5 "LDY B,U"
$10AEC6 "LDY A,U"
$10AEC8 "LDY x,U"
$10AEC9 "LDY ?,U"
$10AECB "LDY D,U"
$10AED1 "LDY (,U++)"
$10AED3 "LDY (,--U)"
$10AED4 "LDY (,U)"
$10AED5 "LDY (B,U)"
$10AED6 "LDY (A,U)"
$10AED8 "LDY (x,U)"
$10AED9 "LDY (?,U)"
$10AEDB "LDY (D,U)"
$10AEE0 "LDY,S+"
$10AEE1 "LDY,S++"
$10AEE2 "LDY,-S"
$10AEE3 "LDY,--S"
$10AEE4 "LDY,S"
$10AEE5 "LDY B,S"
$10AEE6 "LDY A,S"
$10AEE8 "LDY x,S"
$10AEE9 "LDY ?,S"
$10AEEB "LDY D,S"
$10AEF1 "LDY (,S++)"
$10AEF3 "LDY (,--S)"
$10AEF4 "LDY (,S)"
$10AEF5 "LDY (B,S)"
$10AEF6 "LDY (A,S)"
$10AEF8 "LDY (x,S)"
$10AEF9 "LDY (?,S)"
$10AEFB "LDY (D,S)"
$10AF00 "STY s,X"
$10AF20 "STY s,Y"
$10AF40 "STY s,U"
$10AF60 "STY s,S"
$10AF80 "STY,X+"
$10AF81 "STY,X++"
$10AF82 "STY,-X"
$10AF83 "STY,--X"
$10AF84 "STY,X"
$10AF85 "STY B,X"
$10AF86 "STY A,X"
$10AF88 "STY x,X"
$10AF89 "STY ?,X"
$10AF8B "STY D,X"
$10AF8C "STY x,PCR"
$10AF8D "STY ?,PCR"
$10AF91 "STY (,X++)"
$10AF93 "STY (,--X)"
$10AF94 "STY (,X)"
$10AF95 "STY (B,X)"
$10AF96 "STY (A,X)"
$10AF98 "STY (x,X)"
$10AF99 "STY (?,X)"
$10AF9B "STY (D,X)"
$10AF9C "STY (x,PCR)"
$10AF9D "STY (?,PCR)"
$10AF9F "STY (?)"
$10AFA0 "STY,Y+"
$10AFA1 "STY,Y++"
$10AFA2 "STY,-Y"
$10AFA3 "STY,--Y"
$10AFA4 "STY,Y"
$10AFA5 "STY B,Y"
$10AFA6 "STY A,Y"
$10AFA8 "STY x,Y"
$10AFA9 "STY ?,Y"
$10AFAB "STY D,Y"
$10AFB1 "STY (,Y++)"
$10AFB3 "STY (,--Y)"
$10AFB4 "STY (,Y)"
$10AFB5 "STY (B,Y)"
$10AFB6 "STY (A,Y)"
$10AFB8 "STY (x,Y)"
$10AFB9 "STY (?,Y)"
$10AFBB "STY (D,Y)"
$10AFC0 "STY,U+"
$10AFC1 "STY,U++"
$10AFC2 "STY,-U"
$10AFC3 "STY,--U"
$10AFC4 "STY,U"
$10AFC5 "STY B,U"
$10AFC6 "STY A,U"
$10AFC8 "STY x,U"
$10AFC9 "STY ?,U"
$10AFCB "STY D,U"
$10AFD1 "STY (,U++)"
$10AFD3 "STY (,--U)"
$10AFD4 "STY (,U)"
$10AFD5 "STY (B,U)"
$10AFD6 "STY (A,U)"
$10AFD8 "STY (x,U)"
$10AFD9 "STY (?,U)"
$10AFDB "STY (D,U)"
$10AFE0 "STY,S+"
$10AFE1 "STY,S++"
$10AFE2 "STY,-S"
$10AFE3 "STY,--S"
$10AFE4 "STY,S"
$10AFE5 "STY B,S"
$10AFE6 "STY A,S"
$10AFE8 "STY x,S"
$10AFE9 "STY ?,S"
$10AFEB "STY D,S"
$10AFF1 "STY (,S++)"
$10AFF3 "STY (,--S)"
$10AFF4 "STY (,S)"
$10AFF5 "STY (B,S)"
$10AFF6 "STY (A,S)"
$10AFF8 "STY (x,S)"
$10AFF9 "STY (?,S)"
$10AFFB "STY (D,S)"
$10B3 "CMPD ?"
$10BC "CMPY ?"
$10BE "LDY ?"
$10BF "STY ?"
$10CE "LDS #x"
$10DE "LDS x"
$10DF "STS x"
$10EE00 "LDS s,X"
$10EE20 "LDS s,Y"
$10EE40 "LDS s,U"
$10EE60 "LDS s,S"
$10EE80 "LDS,X+"
$10EE81 "LDS,X++"
$10EE82 "LDS,-X"
$10EE83 "LDS,--X"
$10EE84 "LDS,X"
$10EE85 "LDS B,X"
$10EE86 "LDS A,X"
$10EE88 "LDS x,X"
$10EE89 "LDS ?,X"
$10EE8B "LDS D,X"
$10EE8C "LDS x,PCR"
$10EE8D "LDS ?,PCR"
$10EE91 "LDS (,X++)"
$10EE93 "LDS (,--X)"
$10EE94 "LDS (,X)"
$10EE95 "LDS (B,X)"
$10EE96 "LDS (A,X)"
$10EE98 "LDS (x,X)"
$10EE99 "LDS (?,X)"
$10EE9B "LDS (D,X)"
$10EE9C "LDS (x,PCR)"
$10EE9D "LDS (?,PCR)"
$10EE9F "LDS (?)"
$10EEA0 "LDS,Y+"
$10EEA1 "LDS,Y++"
$10EEA2 "LDS,-Y"
$10EEA3 "LDS,--Y"
$10EEA4 "LDS,Y"
$10EEA5 "LDS B,Y"
$10EEA6 "LDS A,Y"
$10EEA8 "LDS x,Y"
$10EEA9 "LDS ?,Y"
$10EEAB "LDS D,Y"
$10EEB1 "LDS (,Y++)"
$10EEB3 "LDS (,--Y)"
$10EEB4 "LDS (,Y)"
$10EEB5 "LDS (B,Y)"
$10EEB6 "LDS (A,Y)"
$10EEB8 "LDS (x,Y)"
$10EEB9 "LDS (?,Y)"
$10EEBB "LDS (D,Y)"
$10EEC0 "LDS,U+"
$10EEC1 "LDS,U++"
$10EEC2 "LDS,-U"
$10EEC3 "LDS,--U"
$10EEC4 "LDS,U"
$10EEC5 "LDS B,U"
$10EEC6 "LDS A,U"
$10EEC8 "LDS x,U"
$10EEC9 "LDS ?,U"
$10EECB "LDS D,U"
$10EED1 "LDS (,U++)"
$10EED3 "LDS (,--U)"
$10EED4 "LDS (,U)"
$10EED5 "LDS (B,U)"
$10EED6 "LDS (A,U)"
$10EED8 "LDS (x,U)"
$10EED9 "LDS (?,U)"
$10EEDB "LDS (D,U)"
$10EEE0 "LDS,S+"
$10EEE1 "LDS,S++"
$10EEE2 "LDS,-S"
$10EEE3 "LDS,--S"
$10EEE4 "LDS,S"
$10EEE5 "LDS B,S"
$10EEE6 "LDS A,S"
$10EEE8 "LDS x,S"
$10EEE9 "LDS ?,S"
$10EEEB "LDS D,S"
$10EEF1 "LDS (,S++)"
$10EEF3 "LDS (,--S)"
$10EEF4 "LDS (,S)"
$10EEF5 "LDS (B,S)"
$10EEF6 "LDS (A,S)"
$10EEF8 "LDS (x,S)"
$10EEF9 "LDS (?,S)"
$10EEFB "LDS (D,S)"
$10EF00 "STS s,X"
$10EF20 "STS s,Y"
$10EF40 "STS s,U"
$10EF60 "STS s,S"
$10EF80 "STS,X+"
$10EF81 "STS,X++"
$10EF82 "STS,-X"
$10EF83 "STS,--X"
$10EF84 "STS,X"
$10EF85 "STS B,X"
$10EF86 "STS A,X"
$10EF88 "STS x,X"
$10EF89 "STS ?,X"
$10EF8B "STS D,X"
$10EF8C "STS x,PCR"
$10EF8D "STS ?,PCR"
$10EF91 "STS (,X++)"
$10EF93 "STS (,--X)"
$10EF94 "STS (,X)"
$10EF95 "STS (B,X)"
$10EF96 "STS (A,X)"
$10EF98 "STS (x,X)"
$10EF99 "STS (?,X)"
$10EF9B "STS (D,X)"
$10EF9C "STS (x,PCR)"
$10EF9D "STS (?,PCR)"
$10EF9F "STS (?)"
$10EFA0 "STS,Y+"
$10EFA1 "STS,Y++"
$10EFA2 "STS,-Y"
$10EFA3 "STS,--Y"
$10EFA4 "STS,Y"
$10EFA5 "STS B,Y"
$10EFA6 "STS A,Y"
$10EFA8 "STS x,Y"
$10EFA9 "STS ?,Y"
$10EFAB "STS D,Y"
$10EFB1 "STS (,Y++)"
$10EFB3 "STS (,--Y)"
$10EFB4 "STS (,Y)"
$10EFB5 "STS (B,Y)"
$10EFB6 "STS (A,Y)"
$10EFB8 "STS (x,Y)"
$10EFB9 "STS (?,Y)"
$10EFBB "STS (D,Y)"
$10EFC0 "STS,U+"
$10EFC1 "STS,U++"
$10EFC2 "STS,-U"
$10EFC3 "STS,--U"
$10EFC4 "STS,U"
$10EFC5 "STS B,U"
$10EFC6 "STS A,U"
$10EFC8 "STS x,U"
$10EFC9 "STS ?,U"
$10EFCB "STS D,U"
$10EFD1 "STS (,U++)"
$10EFD3 "STS (,--U)"
$10EFD4 "STS (,U)"
$10EFD5 "STS (B,U)"
$10EFD6 "STS (A,U)"
$10EFD8 "STS (x,U)"
$10EFD9 "STS (?,U)"
$10EFDB "STS (D,U)"
$10EFE0 "STS,S+"
$10EFE1 "STS,S++"
$10EFE2 "STS,-S"
$10EFE3 "STS,--S"
$10EFE4 "STS,S"
$10EFE5 "STS B,S"
$10EFE6 "STS A,S"
$10EFE8 "STS x,S"
$10EFE9 "STS ?,S"
$10EFEB "STS D,S"
$10EFF1 "STS (,S++)"
$10EFF3 "STS (,--S)"
$10EFF4 "STS (,S)"
$10EFF5 "STS (B,S)"
$10EFF6 "STS (A,S)"
$10EFF8 "STS (x,S)"
$10EFF9 "STS (?,S)"
$10EFFB "STS (D,S)"
$10FE "LDS ?"
$10FF "STS ?"
$113F "SWI3"
$1183 "CMPU #x"
$118C "CMPS #x"
$1193 "CMPU x"
$119C "CMPS x"
$11A300 "CMPU s,X"
$11A320 "CMPU s,Y"
$11A340 "CMPU s,U"
$11A360 "CMPU s,S"
$11A380 "CMPU,X+"
$11A381 "CMPU,X++"
$11A382 "CMPU,-X"
$11A383 "CMPU,--X"
$11A384 "CMPU,X"
$11A385 "CMPU B,X"
$11A386 "CMPU A,X"
$11A388 "CMPU x,X"
$11A389 "CMPU ?,X"
$11A38B "CMPU D,X"
$11A38C "CMPU x,PCR"
$11A38D "CMPU ?,PCR"
$11A391 "CMPU (,X++)"
$11A393 "CMPU (,--X)"
$11A394 "CMPU (,X)"
$11A395 "CMPU (B,X)"
$11A396 "CMPU (A,X)"
$11A398 "CMPU (x,X)"
$11A399 "CMPU (?,X)"
$11A39B "CMPU (D,X)"
$11A39C "CMPU (x,PCR)"
$11A39D "CMPU (?,PCR)"
$11A39F "CMPU (?)"
$11A3A0 "CMPU,Y+"
$11A3A1 "CMPU,Y++"
$11A3A2 "CMPU,-Y"
$11A3A3 "CMPU,--Y"
$11A3A4 "CMPU,Y"
$11A3A5 "CMPU B,Y"
$11A3A6 "CMPU A,Y"
$11A3A8 "CMPU x,Y"
$11A3A9 "CMPU ?,Y"
$11A3AB "CMPU D,Y"
$11A3B1 "CMPU (,Y++)"
$11A3B3 "CMPU (,--Y)"
$11A3B4 "CMPU (,Y)"
$11A3B5 "CMPU (B,Y)"
$11A3B6 "CMPU (A,Y)"
$11A3B8 "CMPU (x,Y)"
$11A3B9 "CMPU (?,Y)"
$11A3BB "CMPU (D,Y)"
$11A3C0 "CMPU,U+"
$11A3C1 "CMPU,U++"
$11A3C2 "CMPU,-U"
$11A3C3 "CMPU,--U"
$11A3C4 "CMPU,U"
$11A3C5 "CMPU B,U"
$11A3C6 "CMPU A,U"
$11A3C8 "CMPU x,U"
$11A3C9 "CMPU ?,U"
$11A3CB "CMPU D,U"
$11A3D1 "CMPU (,U++)"
$11A3D3 "CMPU (,--U)"
$11A3D4 "CMPU (,U)"
$11A3D5 "CMPU (B,U)"
$11A3D6 "CMPU (A,U)"
$11A3D8 "CMPU (x,U)"
$11A3D9 "CMPU (?,U)"
$11A3DB "CMPU (D,U)"
$11A3E0 "CMPU,S+"
$11A3E1 "CMPU,S++"
$11A3E2 "CMPU,-S"
$11A3E3 "CMPU,--S"
$11A3E4 "CMPU,S"
$11A3E5 "CMPU B,S"
$11A3E6 "CMPU A,S"
$11A3E8 "CMPU x,S"
$11A3E9 "CMPU ?,S"
$11A3EB "CMPU D,S"
$11A3F1 "CMPU (,S++)"
$11A3F3 "CMPU (,--S)"
$11A3F4 "CMPU (,S)"
$11A3F5 "CMPU (B,S)"
$11A3F6 "CMPU (A,S)"
$11A3F8 "CMPU (x,S)"
$11A3F9 "CMPU (?,S)"
$11A3FB "CMPU (D,S)"
$11AC00 "CMPS s,X"
$11AC20 "CMPS s,Y"
$11AC40 "CMPS s,U"
$11AC60 "CMPS s,S"
$11AC80 "CMPS,X+"
$11AC81 "CMPS,X++"
$11AC82 "CMPS,-X"
$11AC83 "CMPS,--X"
$11AC84 "CMPS,X"
$11AC85 "CMPS B,X"
$11AC86 "CMPS A,X"
$11AC88 "CMPS x,X"
$11AC89 "CMPS ?,X"
$11AC8B "CMPS D,X"
$11AC8C "CMPS x,PCR"
$11AC8D "CMPS ?,PCR"
$11AC91 "CMPS (,X++)"
$11AC93 "CMPS (,--X)"
$11AC94 "CMPS (,X)"
$11AC95 "CMPS (B,X)"
$11AC96 "CMPS (A,X)"
$11AC98 "CMPS (x,X)"
$11AC99 "CMPS (?,X)"
$11AC9B "CMPS (D,X)"
$11AC9C "CMPS (x,PCR)"
$11AC9D "CMPS (?,PCR)"
$11AC9F "CMPS (?)"
$11ACA0 "CMPS,Y+"
$11ACA1 "CMPS,Y++"
$11ACA2 "CMPS,-Y"
$11ACA3 "CMPS,--Y"
$11ACA4 "CMPS,Y"
$11ACA5 "CMPS B,Y"
$11ACA6 "CMPS A,Y"
$11ACA8 "CMPS x,Y"
$11ACA9 "CMPS ?,Y"
$11ACAB "CMPS D,Y"
$11ACB1 "CMPS (,Y++)"
$11ACB3 "CMPS (,--Y)"
$11ACB4 "CMPS (,Y)"
$11ACB5 "CMPS (B,Y)"
$11ACB6 "CMPS (A,Y)"
$11ACB8 "CMPS (x,Y)"
$11ACB9 "CMPS (?,Y)"
$11ACBB "CMPS (D,Y)"
$11ACC0 "CMPS,U+"
$11ACC1 "CMPS,U++"
$11ACC2 "CMPS,-U"
$11ACC3 "CMPS,--U"
$11ACC4 "CMPS,U"
$11ACC5 "CMPS B,U"
$11ACC6 "CMPS A,U"
$11ACC8 "CMPS x,U"
$11ACC9 "CMPS ?,U"
$11ACCB "CMPS D,U"
$11ACD1 "CMPS (,U++)"
$11ACD3 "CMPS (,--U)"
$11ACD4 "CMPS (,U)"
$11ACD5 "CMPS (B,U)"
$11ACD6 "CMPS (A,U)"
$11ACD8 "CMPS (x,U)"
$11ACD9 "CMPS (?,U)"
$11ACDB "CMPS (D,U)"
$11ACE0 "CMPS,S+"
$11ACE1 "CMPS,S++"
$11ACE2 "CMPS,-S"
$11ACE3 "CMPS,--S"
$11ACE4 "CMPS,S"
$11ACE5 "CMPS B,S"
$11ACE6 "CMPS A,S"
$11ACE8 "CMPS x,S"
$11ACE9 "CMPS ?,S"
$11ACEB "CMPS D,S"
$11ACF1 "CMPS (,S++)"
$11ACF3 "CMPS (,--S)"
$11ACF4 "CMPS (,S)"
$11ACF5 "CMPS (B,S)"
$11ACF6 "CMPS (A,S)"
$11ACF8 "CMPS (x,S)"
$11ACF9 "CMPS (?,S)"
$11ACFB "CMPS (D,S)"
$11B3 "CMPU ?"
$11BC "CMPS ?"
$12 "NOP"
$13 "SYNC"
$16 "LBRA ?"
$17 "LBSR ?"
$19 "DAA"
$1A "ORCC #x"
$1C "ANDCC #x"
$1D "SEX"
$1E "EXG r"
$1F "TFR r"
$20 "BRA x"
$21 "BRN x"
$22 "BHI x"
$23 "BLS x"
$24 "BCC x"
$24 "BHS x"
$25 "BCS x"
$25 "BLO x"
$26 "BNE x"
$27 "BEQ x"
$28 "BVC x"
$29 "BVS x"
$2A "BPL x"
$2B "BMI x"
$2C "BGE x"
$2D "BLT x"
$2E "BGT x"
$2F "BLE x"
$3000 "LEAX s,X"
$3020 "LEAX s,Y"
$3040 "LEAX s,U"
$3060 "LEAX s,S"
$3080 "LEAX,X+"
$3081 "LEAX,X++"
$3082 "LEAX,-X"
$3083 "LEAX,--X"
$3084 "LEAX,X"
$3085 "LEAX B,X"
$3086 "LEAX A,X"
$3088 "LEAX x,X"
$3089 "LEAX ?,X"
$308B "LEAX D,X"
$308C "LEAX x,PCR"
$308D "LEAX ?,PCR"
$3091 "LEAX (,X++)"
$3093 "LEAX (,--X)"
$3094 "LEAX (,X)"
$3095 "LEAX (B,X)"
$3096 "LEAX (A,X)"
$3098 "LEAX (x,X)"
$3099 "LEAX (?,X)"
$309B "LEAX (D,X)"
$309C "LEAX (x,PCR)"
$309D "LEAX (?,PCR)"
$309F "LEAX (?)"
$30A0 "LEAX,Y+"
$30A1 "LEAX,Y++"
$30A2 "LEAX,-Y"
$30A3 "LEAX,--Y"
$30A4 "LEAX,Y"
$30A5 "LEAX B,Y"
$30A6 "LEAX A,Y"
$30A8 "LEAX x,Y"
$30A9 "LEAX ?,Y"
$30AB "LEAX D,Y"
$30B1 "LEAX (,Y++)"
$30B3 "LEAX (,--Y)"
$30B4 "LEAX (,Y)"
$30B5 "LEAX (B,Y)"
$30B6 "LEAX (A,Y)"
$30B8 "LEAX (x,Y)"
$30B9 "LEAX (?,Y)"
$30BB "LEAX (D,Y)"
$30C0 "LEAX,U+"
$30C1 "LEAX,U++"
$30C2 "LEAX,-U"
$30C3 "LEAX,--U"
$30C4 "LEAX,U"
$30C5 "LEAX B,U"
$30C6 "LEAX A,U"
$30C8 "LEAX x,U"
$30C9 "LEAX ?,U"
$30CB "LEAX D,U"
$30D1 "LEAX (,U++)"
$30D3 "LEAX (,--U)"
$30D4 "LEAX (,U)"
$30D5 "LEAX (B,U)"
$30D6 "LEAX (A,U)"
$30D8 "LEAX (x,U)"
$30D9 "LEAX (?,U)"
$30DB "LEAX (D,U)"
$30E0 "LEAX,S+"
$30E1 "LEAX,S++"
$30E2 "LEAX,-S"
$30E3 "LEAX,--S"
$30E4 "LEAX,S"
$30E5 "LEAX B,S"
$30E6 "LEAX A,S"
$30E8 "LEAX x,S"
$30E9 "LEAX ?,S"
$30EB "LEAX D,S"
$30F1 "LEAX (,S++)"
$30F3 "LEAX (,--S)"
$30F4 "LEAX (,S)"
$30F5 "LEAX (B,S)"
$30F6 "LEAX (A,S)"
$30F8 "LEAX (x,S)"
$30F9 "LEAX (?,S)"
$30FB "LEAX (D,S)"
$3100 "LEAY s,X"
$3120 "LEAY s,Y"
$3140 "LEAY s,U"
$3160 "LEAY s,S"
$3180 "LEAY,X+"
$3181 "LEAY,X++"
$3182 "LEAY,-X"
$3183 "LEAY,--X"
$3184 "LEAY,X"
$3185 "LEAY B,X"
$3186 "LEAY A,X"
$3188 "LEAY x,X"
$3189 "LEAY ?,X"
$318B "LEAY D,X"
$318C "LEAY x,PCR"
$318D "LEAY ?,PCR"
$3191 "LEAY (,X++)"
$3193 "LEAY (,--X)"
$3194 "LEAY (,X)"
$3195 "LEAY (B,X)"
$3196 "LEAY (A,X)"
$3198 "LEAY (x,X)"
$3199 "LEAY (?,X)"
$319B "LEAY (D,X)"
$319C "LEAY (x,PCR)"
$319D "LEAY (?,PCR)"
$319F "LEAY (?)"
$31A0 "LEAY,Y+"
$31A1 "LEAY,Y++"
$31A2 "LEAY,-Y"
$31A3 "LEAY,--Y"
$31A4 "LEAY,Y"
$31A5 "LEAY B,Y"
$31A6 "LEAY A,Y"
$31A8 "LEAY x,Y"
$31A9 "LEAY ?,Y"
$31AB "LEAY D,Y"
$31B1 "LEAY (,Y++)"
$31B3 "LEAY (,--Y)"
$31B4 "LEAY (,Y)"
$31B5 "LEAY (B,Y)"
$31B6 "LEAY (A,Y)"
$31B8 "LEAY (x,Y)"
$31B9 "LEAY (?,Y)"
